"","Belgium","Chile","China (People's Republic of)","Greece","India","Ireland","Israel","Spain","Turkey","United Kingdom","United States"
"2020-09-15",0.022502987834214,0.273065407860572,3.07720397041471e-05,0.03061353218748,0.0863511043235729,0.026415262245428,0.188164607041529,0.125158631697214,0.0701099115860571,0.0167661743412863,0.266047171833143
"2020-09-16",0.022502987834214,0.271539902788715,3.07720397041471e-05,0.03061353218748,0.0859286429521271,0.0205452039686713,0.205855296592443,0.187737947545815,0.0714982266669684,0.0193455857784003,0.258438327668286
"2020-09-17",0.0237531538250007,0.275353665468328,3.07720397041471e-05,0.03726864788041,0.0855589892521114,0.0234802331070573,0.212288274610957,0.215517058483501,0.07288654174788,0.0208502424500576,0.256164420216714
"2020-09-18",0.0225029878342019,0.266200635037258,4.10293862721412e-05,0.0359376247418243,0.0860448198292743,0.0322853205221999,0.212288274610957,0.228338186608571,0.0739277780585643,0.0253642124650144,0.244007761148729
"2020-09-19",0.0262534858065721,0.273828160396472,3.07720397041391e-05,0.0385996710189971,0.0862454889807115,0.0264152622454432,0.2315872086665,0.228338186608571,0.0773985657608441,0.0292333296207001,0.243745387212029
"2020-09-20",0.0287538177881577,0.25704760460617,3.07720397041391e-05,0.0439237635733414,0.0861821197749943,0.0234802331070573,0.238020186685028,0.228338186608571,0.0780927233013,0.032027692010915,0.237360954751858
"2020-09-21",0.0287538177881577,0.217384472738144,2.05146931359943e-05,0.0452547867119285,0.0861715582407086,0.0234802331070573,0.255710876235943,0.248790938617642,0.07896042022687,0.0324575939170995,0.237929431614743
"2020-09-22",0.0312541497697291,0.214333462594455,1.02573465679922e-05,0.0519099024048586,0.0840064437120471,0.0146751456919146,0.271793321282229,0.274738459823157,0.0786133414566414,0.0346071034480279,0.226122604462386
"2020-09-23",0.0300039837789444,0.21890997781,2.0514693136137e-05,0.05457194868203,0.0839747591091885,0.0176101748302995,0.2701850767776,0.241464579689014,0.0801751959226686,0.038261269650629,0.2304080454288
"2020-09-24",0.0362548137329003,0.249420079246944,2.0514693136137e-05,0.05457194868203,0.0836262284777458,0.0234802331070573,0.291092255337772,0.217653913171014,0.0815635110035799,0.0423453377593861,0.233031784795986
"2020-09-25",0.0400053117052706,0.250182831782857,2.0514693136145e-05,0.0559029718206157,0.0819575060605344,0.0146751456919146,0.307174700384057,0.224980272099628,0.0834724442398344,0.0438499944310577,0.233469074690529
"2020-09-26",0.037504979723687,0.257047604606171,2.0514693136145e-05,0.0598960412363743,0.0818624522519585,0.0293502913838282,0.3039582113748,0.224980272099628,0.083993062395177,0.0455696020558007,0.235305692247542
